seq,year,age,sex,subject,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,interest,enjoy,mastgrad
243,1,17,1,4,6,NA,6,7,NA,6,6,7,5,6,7,3,5,5,2
244,1,17,2,4,7,2,6,1,7,2,2,7,1,4,6,6,7,6,4
245,1,18,2,4,7,3,6,4,5,5,6,7,3,6,6,7,3,3,4
246,1,17,2,4,7,1,6,5,NA,6,4,6,1,1,6,7,7,7,4
247,1,17,1,4,7,3,3,5,4,5,3,6,5,4,7,5,6,6,1
248,1,17,1,4,7,2,3,5,6,4,6,6,6,5,7,7,5,5,1
249,1,17,1,4,6,4,4,6,5,7,5,7,2,6,5,5,7,6,1
250,1,17,1,4,5,2,3,5,7,5,4,6,3,5,6,5,7,7,1
251,1,17,1,4,7,6,7,7,7,7,6,7,6,6,7,1,5,6,NA
252,1,17,1,4,3,5,6,7,7,5,5,6,2,1,7,7,7,7,1
253,1,17,1,4,5,4,5,3,5,2,6,NA,NA,2,5,4,5,5,2
254,1,17,1,4,7,1,7,7,4,7,1,7,7,4,6,7,7,7,6
255,1,17,2,4,5,2,2,6,5,6,3,6,2,2,6,3,6,6,2
256,1,17,1,4,7,1,1,1,7,7,1,7,7,7,7,7,7,7,NA
257,1,17,2,4,6,6,7,6,6,6,6,7,7,6,6,5,4,5,4
258,1,17,2,4,6,1,5,4,7,6,5,7,3,5,7,6,7,7,4
259,1,17,1,4,6,4,3,5,6,4,4,7,2,5,6,2,5,5,2
260,1,16,2,4,7,2,4,5,6,5,1,5,7,5,6,2,7,7,4
261,1,16,1,4,6,1,4,6,6,6,1,7,6,6,7,6,7,7,4
262,1,17,1,4,4,4,4,5,7,4,5,4,2,2,6,3,6,7,1
263,1,16,1,4,7,2,2,4,7,4,7,7,7,5,7,5,5,5,3
264,1,16,1,4,7,3,1,6,7,6,6,7,7,7,7,7,7,7,1
265,1,18,1,4,7,3,1,3,5,2,4,7,2,1,7,3,1,1,1
266,1,17,1,4,7,4,4,7,7,7,4,6,3,6,6,3,3,3,1
267,1,19,2,4,6,3,3,4,6,2,6,7,2,2,7,7,7,7,6
268,1,17,1,4,7,3,5,1,6,3,1,3,4,4,5,7,7,5,4
269,1,17,2,4,7,5,4,3,7,5,4,7,4,5,7,7,7,7,4
270,1,17,1,4,6,6,4,3,4,3,5,6,3,2,5,5,5,5,4
271,1,18,2,4,7,5,3,5,5,6,6,6,6,6,7,7,7,6,4
272,1,16,2,4,7,6,7,3,6,5,4,7,6,3,7,3,5,4,3
273,1,16,2,4,7,4,5,4,5,4,4,5,5,4,7,7,7,6,5
274,1,19,2,4,7,6,5,3,6,5,5,7,4,6,6,7,7,6,6
275,1,18,1,4,7,5,6,3,7,4,3,7,3,5,6,5,4,4,1
276,1,17,2,4,7,1,1,7,7,7,1,7,4,7,7,7,7,7,4
277,1,18,2,4,7,1,7,7,7,7,7,7,5,6,6,7,6,6,NA
278,1,16,2,4,4,7,5,1,3,6,5,4,2,1,6,2,6,6,NA
279,1,17,1,4,7,1,2,5,6,7,3,7,4,5,7,4,6,6,NA
280,1,17,2,4,7,7,7,5,5,5,6,6,6,6,7,7,5,5,5
281,1,17,1,4,7,2,1,5,7,7,1,7,1,7,7,4,7,7,4
282,1,17,2,4,6,3,4,3,4,4,3,3,3,4,5,5,6,6,1
283,1,17,2,4,7,2,2,5,6,7,6,7,1,6,6,7,7,7,4
284,1,16,2,4,7,4,6,5,5,5,5,7,5,5,6,4,7,7,4
285,1,19,2,4,7,1,4,7,7,6,1,7,2,7,7,1,7,7,1
286,1,NA,1,4,7,1,4,5,5,5,1,7,7,7,7,7,7,7,1
287,4,19,1,5,7,2,5,7,7,6,4,7,7,7,7,7,7,7,3
288,1,NA,1,4,7,5,2,4,5,4,2,5,7,4,5,7,5,5,3
289,1,NA,1,4,7,4,3,7,7,1,6,7,4,7,7,4,4,5,NA
290,1,17,2,4,4,7,7,3,5,4,5,6,4,4,6,3,5,6,4
291,1,NA,1,4,7,5,5,6,7,6,6,7,7,6,7,7,7,7,4
292,1,NA,1,4,5,6,5,7,4,7,3,7,7,7,4,4,5,5,4
293,1,17,2,4,7,5,5,1,6,1,5,7,6,1,7,7,6,7,4
294,1,18,1,4,6,5,4,3,6,3,5,6,5,3,6,4,6,6,4
295,1,18,2,4,6,3,5,6,6,4,4,6,2,3,6,3,5,5,2
296,1,NA,2,4,7,4,1,6,5,7,1,7,4,7,7,7,6,7,4
297,1,17,2,4,6,2,6,4,7,3,6,7,2,4,7,1,5,5,7
298,1,NA,2,4,7,1,7,7,7,5,6,7,4,7,7,4,7,7,2
299,1,17,1,4,7,6,7,3,5,2,6,7,6,1,6,5,6,6,7
300,1,15,1,4,7,2,5,4,7,4,1,7,6,6,7,7,7,6,2
301,1,17,1,4,7,6,6,1,7,4,3,7,1,2,7,7,7,7,NA
302,1,18,1,4,7,2,7,4,7,4,2,7,3,7,7,7,7,7,4
303,1,17,1,4,6,2,2,4,4,4,3,5,4,3,5,5,5,5,1
304,1,17,1,4,7,4,1,7,3,7,2,7,1,4,6,1,5,5,2
305,1,17,1,4,7,1,1,7,7,6,1,5,5,7,7,3,1,7,5
306,1,17,1,4,4,6,2,4,5,5,5,6,3,5,6,6,6,6,3
307,1,17,1,4,7,6,5,6,6,5,5,5,7,5,5,6,6,6,3
308,1,17,1,4,6,5,3,2,4,2,2,6,5,3,5,6,6,4,4
309,1,17,1,4,6,2,3,6,7,5,3,6,5,6,6,2,6,6,1
310,1,17,1,4,7,1,2,6,6,6,5,7,5,7,7,3,6,6,4
311,1,22,2,4,7,5,5,7,7,7,5,7,1,5,7,4,7,7,5
312,1,17,2,4,4,2,4,6,7,5,2,5,3,5,7,7,6,5,7
313,1,17,1,4,6,5,2,1,4,1,1,5,3,1,7,6,7,7,1
314,1,17,2,4,7,1,4,4,7,6,5,7,4,5,7,1,7,7,1
315,1,18,2,4,7,7,7,7,7,7,7,7,NA,7,7,7,7,7,5
316,1,16,2,4,4,2,5,5,6,7,5,7,2,7,7,1,7,7,4
317,1,17,2,4,6,1,2,6,7,6,5,7,4,6,7,1,7,7,1
318,1,18,2,4,7,2,2,3,4,3,3,6,2,3,6,3,6,6,4
319,1,17,2,4,6,1,2,4,6,6,3,5,5,6,5,2,5,5,2
320,1,17,1,4,7,1,2,4,7,4,1,7,1,4,7,7,6,6,2
321,1,17,2,4,7,2,4,5,5,4,6,7,4,2,7,3,6,6,3
322,1,19,1,4,7,5,5,7,7,7,6,7,6,7,7,5,7,7,4
323,1,17,2,4,7,4,7,6,7,7,7,7,7,5,7,7,7,6,4
324,1,17,2,4,7,2,5,5,6,5,5,7,4,2,6,3,7,6,1
325,1,17,1,4,4,2,6,7,7,6,3,6,4,6,7,3,7,6,4
326,1,16,1,4,6,3,2,7,7,6,4,7,1,5,7,2,6,6,2
327,1,17,1,4,5,3,4,6,6,4,4,7,3,3,5,6,7,7,4
328,1,16,2,4,7,3,3,5,6,5,3,7,2,5,6,7,7,7,4
329,1,17,2,4,7,4,4,4,7,6,3,7,3,6,7,4,7,7,4
330,1,16,2,4,6,2,3,6,4,4,2,6,7,4,6,7,7,5,4
331,1,17,2,4,7,2,4,5,7,5,5,7,7,5,7,5,7,7,7
332,1,19,1,4,7,4,3,6,7,7,4,7,3,7,7,7,6,6,3
333,1,17,1,4,7,6,5,2,6,4,6,7,7,4,7,7,6,7,3
334,1,17,1,4,7,3,2,5,7,5,2,7,5,5,7,7,7,7,2
335,1,18,1,4,7,4,4,1,7,1,4,7,3,2,7,5,7,7,3
336,1,18,1,4,7,7,5,6,4,5,4,4,NA,5,5,3,4,5,4
337,1,18,2,4,7,7,6,6,7,7,7,7,2,4,7,7,7,7,3
338,1,17,2,4,7,5,6,7,5,7,7,7,2,6,7,7,7,3,NA
339,1,18,2,4,7,2,2,7,7,6,2,7,1,3,7,1,6,6,1
340,1,17,2,4,2,1,2,7,7,7,3,7,1,6,7,1,7,7,1
341,1,NA,2,4,5,4,3,4,4,4,3,7,4,5,6,4,5,4,4
342,1,17,2,4,6,6,5,6,5,5,3,7,5,4,7,4,5,5,4
343,1,NA,1,4,7,2,6,4,5,5,1,6,5,3,7,6,7,7,1
344,1,17,2,4,7,3,5,7,6,6,3,7,3,5,5,2,5,5,4
345,1,16,1,4,7,2,2,6,7,7,2,7,5,6,7,6,7,7,4
346,1,17,1,4,5,5,7,4,6,4,5,6,5,4,6,6,6,6,6
347,1,16,1,4,7,6,5,6,7,6,4,6,4,2,6,3,6,6,1
348,1,17,1,4,7,4,7,1,7,1,7,7,4,1,7,1,7,7,4
349,1,17,1,4,6,1,4,4,7,5,2,7,5,5,7,4,6,6,2
350,1,17,1,4,7,3,5,6,7,6,2,7,7,6,7,6,7,6,4
351,1,17,2,4,6,5,5,5,6,5,5,6,5,5,5,4,5,5,2
352,1,17,1,4,7,1,1,5,6,7,1,7,1,4,7,1,7,7,1
353,1,17,1,4,1,1,2,7,5,7,3,6,4,6,7,3,6,6,4
354,1,18,2,4,6,4,2,2,5,5,4,7,5,4,6,7,7,6,4
355,1,17,2,4,7,7,7,1,7,7,7,7,1,7,7,1,7,5,1
356,1,17,1,4,7,3,4,3,4,3,3,4,3,3,5,3,4,5,NA
357,1,17,1,4,7,4,4,6,4,7,4,7,1,7,NA,5,7,7,4
358,1,17,1,4,4,5,3,4,6,4,5,7,7,4,7,6,7,4,4
359,1,17,2,4,7,7,7,6,7,6,4,7,7,6,7,5,7,7,4
360,1,17,1,4,6,4,7,4,5,6,7,7,5,3,5,7,7,6,4
361,1,17,2,4,7,4,4,3,7,3,7,5,3,1,6,1,4,7,4
362,1,18,1,4,7,5,4,1,3,1,3,4,4,1,4,1,3,4,4
363,1,18,1,4,4,3,5,3,3,2,3,6,4,2,4,3,4,4,4
364,1,18,2,4,7,1,1,6,7,7,3,7,2,6,7,7,7,7,1
365,1,17,2,4,3,7,5,3,3,2,2,6,3,2,5,5,5,5,5
366,1,16,1,4,7,4,5,1,7,1,5,7,4,1,6,1,7,7,2
367,1,17,1,4,6,3,2,1,6,1,2,6,3,1,6,1,4,4,4
368,1,17,1,4,7,6,6,4,7,4,5,7,5,6,7,7,7,7,4
369,1,17,2,4,7,4,5,4,5,4,6,6,6,4,5,6,6,6,4
370,1,17,1,4,7,5,7,7,7,6,4,6,6,7,6,7,7,7,4
371,1,NA,1,4,6,3,3,3,7,3,3,7,6,3,7,7,7,7,2
372,1,20,2,4,7,4,2,7,7,4,3,7,5,1,7,4,7,7,4
373,1,17,2,4,7,2,6,4,7,5,4,6,3,4,6,7,6,6,4
374,1,17,2,4,7,2,4,2,7,3,6,7,2,1,7,1,7,6,1
375,1,17,2,4,7,5,7,7,6,4,3,4,2,4,7,6,7,7,4
376,1,17,1,4,7,4,4,3,4,5,4,5,7,3,5,7,5,5,4
377,1,17,1,4,7,5,5,4,3,5,5,5,3,1,6,7,5,5,3
378,1,17,NA,4,7,4,1,6,7,7,7,7,1,6,7,1,3,2,3
379,1,18,1,4,7,2,2,7,7,4,2,7,1,4,6,6,6,6,3
380,1,17,1,4,7,2,2,1,7,4,2,6,4,1,7,6,6,6,2
381,1,17,2,4,7,4,7,7,6,7,2,7,2,5,5,4,NA,7,6
382,1,16,2,4,7,5,6,6,7,1,1,7,1,1,7,1,7,7,4
383,1,18,2,4,7,2,3,1,7,1,4,6,6,2,4,7,4,6,4
384,1,17,1,4,6,4,4,5,5,4,2,6,2,5,7,7,6,4,2
385,1,17,2,4,7,6,6,4,6,5,7,7,5,6,6,7,7,6,4
386,1,18,2,4,7,4,7,6,7,6,4,7,4,6,6,6,7,7,NA
387,1,17,2,4,7,4,6,4,7,6,5,7,7,6,6,7,7,7,4
388,1,17,2,4,7,2,2,4,7,4,2,7,2,1,6,7,7,7,4
389,1,17,2,4,7,5,5,3,7,3,5,5,3,3,5,3,6,6,1
390,1,17,1,4,5,6,7,1,5,3,3,7,6,3,7,5,7,7,3
391,1,17,2,4,6,3,2,3,7,3,2,7,2,1,7,1,7,7,1
392,1,17,2,4,7,4,4,6,7,6,4,7,7,6,6,7,7,6,4
393,1,18,1,4,7,3,5,6,7,6,6,7,1,5,7,2,7,6,2
394,1,23,1,4,7,2,5,6,7,5,4,7,1,2,7,2,7,7,4
395,1,16,1,4,7,4,4,3,7,1,6,6,3,1,7,1,7,7,1
396,1,16,1,4,7,4,5,2,4,3,6,4,3,4,7,7,6,5,2
397,1,17,1,4,7,5,6,1,4,2,3,5,6,2,5,7,5,6,3
398,1,NA,2,4,7,3,6,4,7,3,5,7,7,3,7,7,7,7,2
399,1,17,1,4,5,3,4,4,5,4,1,7,1,1,7,1,6,6,2
400,1,NA,1,4,1,2,2,7,7,7,2,5,4,4,7,5,7,6,1
401,1,18,2,4,7,1,7,1,7,1,1,7,1,1,7,7,7,7,NA
402,1,17,2,4,6,2,4,6,6,6,4,7,2,2,6,1,4,4,4
403,1,18,2,4,7,3,7,5,5,5,5,5,5,5,7,7,7,7,4
404,1,17,1,4,7,3,3,4,5,5,3,7,2,5,6,1,6,6,4
405,1,17,1,4,7,2,2,5,7,5,6,7,3,5,7,4,7,7,4
406,1,17,2,4,7,6,7,2,5,1,6,7,7,2,6,6,6,7,1
407,1,17,2,4,5,3,2,2,7,3,2,7,5,2,7,2,7,7,7
408,1,17,1,4,7,5,4,2,6,2,4,6,1,1,6,1,6,6,6
409,1,17,2,4,7,5,2,7,7,7,6,7,4,6,7,7,7,7,1
410,1,16,2,4,7,5,3,5,7,5,5,7,1,1,7,3,7,7,5
411,1,NA,2,4,3,2,3,6,7,6,6,7,1,1,7,4,5,6,2
412,1,17,1,4,7,3,5,4,7,4,4,7,4,4,4,4,6,5,1
413,1,NA,2,4,7,3,3,6,7,5,4,7,5,4,7,7,7,7,2
414,1,17,2,4,7,2,4,6,7,6,3,7,1,2,7,7,6,6,1
415,1,17,1,4,7,1,5,7,7,7,4,7,1,7,7,1,7,7,4
416,1,17,1,4,6,5,2,2,6,3,1,6,5,3,6,6,6,6,3
417,1,17,2,4,1,2,2,4,5,4,3,3,6,2,5,1,7,5,2
418,1,17,1,4,7,3,2,7,7,5,4,6,2,1,5,1,6,6,1
419,1,17,2,4,6,4,5,2,6,2,5,7,5,4,6,6,6,6,4
420,1,17,2,4,3,2,4,6,5,5,5,7,3,6,6,3,7,6,3
421,1,17,1,4,4,6,5,NA,4,2,1,2,3,3,4,NA,6,5,3
422,1,17,1,4,6,4,5,1,5,4,5,6,6,1,6,6,5,4,4
423,1,18,NA,4,5,2,4,6,7,4,2,5,3,3,6,1,6,6,2
424,1,16,2,4,2,4,4,5,5,5,4,7,1,2,7,1,7,7,1
425,1,17,2,4,7,4,6,3,4,2,5,5,6,2,3,6,6,5,4
426,1,17,2,4,7,2,6,5,7,3,1,7,2,3,7,4,7,7,3
427,1,NA,NA,4,7,2,2,6,7,6,2,7,2,6,7,7,7,6,4
