"from","to"
2506,8552
2506,1775
2506,1761
2506,595
2506,4866
2506,1316
2506,4708
2506,876
2506,3300
2506,9431
2506,5863
2506,9600
2506,2138
2506,7727
2506,9216
2506,8416
2506,6141
2506,115
2506,4710
2506,6376
2506,7176
2506,6078
2506,1481
2506,5022
2506,4826
2506,2272
2506,1550
2506,9049
2506,887
2506,6243
2506,1843
2506,3012
2506,4541
2506,3366
2506,8653
2506,7142
2506,9612
2506,206
2506,609
2506,8734
2506,2175
2506,5575
2506,8391
2506,9077
2506,1080
2506,5871
2506,6864
2506,6180
2506,6082
2506,2677
2506,6444
2506,4833
2506,2811
2506,6332
2506,5007
2506,1503
2506,7730
2506,1179
2506,8664
2506,7399
2506,7452
2506,5669
2506,2398
2506,263
2506,885
2506,8270
2506,4168
2506,7531
2506,5645
2506,8226
2506,6764
2506,4946
2506,9422
2506,2191
2506,9130
2506,3361
2506,6364
2506,7631
2506,7520
2506,3457
2506,5262
2506,3270
2506,5516
2506,1742
2506,3788
2506,8243
2506,9254
2506,1864
2506,9437
2506,714
2506,5720
2506,6804
2506,3848
2506,1971
2506,1089
2506,309
2506,5250
2506,1435
2506,4194
2506,6023
2506,2089
2506,7110
2506,3104
2506,1978
2506,5072
2506,3451
2506,1770
2506,3060
2506,1156
2506,6375
2506,5814
2506,2675
2506,182
2506,5435
2506,6321
2506,6200
2506,7809
2506,232
2506,4717
2506,3508
2506,1535
2506,4133
2506,6436
2506,7698
2506,4435
2506,7990
2506,5610
2506,1440
2506,6051
2506,1260
2506,8328
2506,4906
2506,8942
2506,5326
2506,2536
2506,4966
2506,9505
2506,2630
2506,5540
2506,5219
2506,6581
2506,1652
2506,267
2506,3145
2506,1845
2506,6540
2506,4613
2506,2568
2506,4313
2506,8574
2506,822
2506,1920
2506,8716
2506,4069
2506,4348
2506,8726
2506,5115
2506,6497
2506,9534
2506,7166
2506,3483
2506,9075
2506,9141
2506,3727
2506,8088
2506,8987
2506,2442
2506,7037
2506,1779
2506,306
2506,749
2506,7420
2506,3639
2506,508
2506,2756
2506,9250
2506,8081
2506,4339
2506,2353
2506,893
2506,8195
2506,3042
2506,186
2506,2778
2506,7825
2506,3589
2506,5305
2506,7567
2506,6022
2506,938
2506,3869
2506,6711
2506,2084
2506,3123
2506,1632
2506,5225
2506,3822
2506,1217
2506,2812
2506,2535
2506,7375
2506,7558
2506,827
